Designator,Mid X,Mid Y,Rotation,Layer
U16,66.628823,-122.757174,180.0,top
U17,94.640371,-126.516727,180.0,top
U2,96.777421,-76.958802,0.0,top
U3,83.82,-76.2,0.0,top
U4,92.134921,-79.498802,270.0,top
U5,110.49,-130.81,0.0,top
U6,100.004921,-81.268802,0.0,top
U7,106.5475,-73.34,180.0,top
U8,100.004921,-73.648802,90.0,top
U9,113.7,-76.8,270.0,top
Y1,116.790572,-124.242632,270.0,top
